               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.046988,            0.039682,            0.025383,             0.50461,             0.33981,             0.36765,             0.17537,            0.047575,            0.023375,            0.020728,            0.002872,            0.002872,            0.002872
                  38,            0.046291,            0.039069,            0.024624,             0.41411,              0.3948,             0.38565,             0.17699,            0.047485,            0.023464,            0.021111,            0.002674,            0.002674,            0.002674
                  39,            0.046362,            0.039742,            0.024032,             0.42486,             0.42371,             0.39628,             0.18845,            0.047183,            0.023303,            0.020656,            0.002476,            0.002476,            0.002476
                  40,            0.045916,            0.038507,            0.023967,             0.42368,             0.39284,             0.39556,             0.18453,            0.046984,            0.023253,            0.020037,            0.002278,            0.002278,            0.002278
                  41,            0.045553,            0.039027,            0.023212,             0.46642,             0.36953,             0.39829,              0.1903,            0.047087,            0.023282,            0.020493,             0.00208,             0.00208,             0.00208
                  42,            0.045483,            0.038996,            0.023023,             0.41606,             0.41172,             0.40431,             0.19456,            0.046972,            0.023027,              0.0201,            0.001882,            0.001882,            0.001882
                  43,            0.044703,            0.037905,            0.022234,             0.45402,              0.4157,              0.4127,             0.20083,            0.046903,            0.023075,            0.019685,            0.001684,            0.001684,            0.001684
                  44,            0.044539,            0.037976,            0.021977,             0.46275,             0.43258,             0.43098,             0.20689,            0.046345,            0.022968,            0.018709,            0.001486,            0.001486,            0.001486
                  45,            0.044206,            0.038258,            0.022034,             0.44279,             0.43194,             0.41891,             0.20393,            0.046868,            0.023067,            0.019418,            0.001288,            0.001288,            0.001288
                  46,            0.044133,            0.037807,            0.022047,             0.43152,              0.4507,               0.426,             0.20183,            0.046473,            0.022834,            0.018552,             0.00109,             0.00109,             0.00109
                  47,            0.043545,            0.038216,            0.021594,             0.47918,             0.41782,             0.43902,              0.2108,            0.045794,            0.022829,            0.018663,            0.000892,            0.000892,            0.000892
                  48,            0.043202,            0.038311,            0.020411,              0.4904,             0.43512,             0.43837,             0.21166,            0.045739,            0.022821,            0.018302,            0.000694,            0.000694,            0.000694
                  49,            0.043336,            0.038079,            0.020616,             0.46896,             0.44467,             0.44748,             0.21702,            0.045559,            0.022848,            0.018238,            0.000496,            0.000496,            0.000496
